FRS_ID,FlowName,Compartment,FlowAmount,FlowSum,Unit,Concentration kg/kg,Source,Year,FacilityName,State,Latitude,Longitude,County,NAICS,SIC,FacilityID,CO2Amount,CO2Source,TotalFlowAmountminusCO2,Total_Flue_Gas_Amount,Concentration,FlowChemIdentifier
110000589612.0,Anthracene,air,0.6294192875678399,2563719132.1939173,kg,2.455102353701323e-10,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,2.455102337752458e-10,120-12-7
110000589612.0,Antimony,air,1.6559227705549762,2563719132.1939173,kg,6.459064683649301e-10,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,6.459064641689851e-10,35734-21-5
110000589612.0,Arsenic,air,4.61143050027968,2563719132.1939173,kg,1.798726873927653e-09,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,1.7987268622427426e-09,7784-42-1
110000589612.0,Benzene,air,1334.46875254,2563719132.1939173,kg,5.205206513390648e-07,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,5.205206479576527e-07,27271-55-2
110000589612.0,Benzo[e]Pyrene,air,0.0005449872409421,2563719132.1939173,kg,2.1257681237325092e-13,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,2.1257681099230697e-13,192-97-2
110000589612.0,Beryllium,air,0.24895326508976,2563719132.1939173,kg,9.710629450922608e-11,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,9.710629387840304e-11,7440-41-7
110000589612.0,Cadmium,air,10.88621688,2563719132.1939173,kg,4.246259562249339e-09,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,4.246259534664739e-09,81271-94-5
110000589612.0,Carbon Monoxide,air,1187626.38741516,2563719132.1939173,kg,0.0004632435638138,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,0.0004632435608044,50-00-0
110000589612.0,Carbon Tetrachloride,air,69.27461819834124,2563719132.1939173,kg,2.7021141796862553e-08,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,2.70211416213275e-08,56-23-5
110000589612.0,Chlorobenzene,air,50.801035102361546,2563719132.1939173,kg,1.981536684905428e-08,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,1.981536672032946e-08,68411-45-0
