,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
11474,4401WMXCHM33653,MEXICHEM SPECIALTY RESINS INC,325211,issues,issues,issues,issues,issues,MEXICHEM SPECIALTY RESINS INC,110056332339.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11475,66044PKCHM440BN,CHEMTRADE PHOSPHORUS SPECIALTIES LLC,325180,issues,issues,issues,issues,issues,CHEMTRADE LOGISTICS INC,110008059475.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11479,98248LQDCR446AL,LINDE INC,325120,issues,issues,issues,issues,issues,LINDE INC,110000490120.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11482,30318NTTNG1303B,APPLIED MATERIAL SOLUTIONS INC DBA NOTTINGHAM CO,325199,issues,issues,issues,issues,issues,APPLIED MATERIAL SOLUTIONS INC,110001751239.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11484,7557WRGNWB28TEX,REG NEW BOSTON LLC,325199,issues,issues,issues,issues,issues,RENEWABLE ENERGY GROUP INC,110060280413.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11486,7821WCPTLS1153B,CARBONFREE CHEMICALS SPE I HOLDINGS LLC,325180,issues,issues,issues,issues,issues,issues,110069359660.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11492,85231HSFRZ735EL,HASA INC,325180,issues,issues,issues,issues,issues,issues,110000600662.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11504,4813WLGCGN2434B,LGC GENOMICS LLC,325199,issues,issues,issues,issues,issues,issues,110042281580.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11511,4866WSKSRH3892S,SK SARAN AMERICAS LLC,325211,issues,issues,issues,issues,issues,issues,110070206563.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11515,1834WRLQDDDEMIR,AIR LIQUIDE ADVANCED MATERIALS INC,325120,325180.0,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110070068460.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11534,67068PGNCX1SPEN,GREAT LAKES POLYMER TECHNOLOGIES LLC,325211,issues,issues,issues,issues,issues,issues,110039494188.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11539,7007WPRXRSVALER,LINDE ST CHARLES FACILITY,325120,issues,issues,issues,issues,issues,LINDE INC,110056382463.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11540,85019HLLBR4450N,HILL BROTHERS CHEMICAL CO,325180,424690.0,424950.0,issues,issues,issues,HILL BROTHERS CHEMICAL CO,110000470400.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11543,74467LSTMR221SH,ELASTOMER SPECIALTIES INC,325211,issues,issues,issues,issues,issues,ELASTOMER SPECIALTIES INC,110030818015.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11545,74015DVNCR5005N,ADVANCED RESEARCH CHEMICALS INC,325180,issues,issues,issues,issues,issues,issues,110069447101.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11547,0751WDVNCD1TAFT,ADVANCED BIOTECH,325199,issues,issues,issues,issues,issues,CENTROME,110060259731.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11550,60090PRCYH430SO,SLIDE PRODUCTS INC,325199,issues,issues,issues,issues,issues,issues,110000430294.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11551,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110000437974.0,EVONIK CORP,8300 W RT 24,MAPLETON,IL,61547,40.564725,-89.724485,PEORIA,325613,nan,61547GLDSC8300W,TRI,right_only
11552,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110012267965.0,PRAXAIR INC SULPHUR 676,4451 HIGHWAY 108 W,SULPHUR,LA,70665,30.139164,-93.526936,CALCASIEU PARISH,325120,nan,70664PRXRN4451H,TRI,right_only
