FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,SPENT_LIQUOR_CO2_EMISSIONS,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,UNIT_TYPE,SPENT_LIQUOR_N2O_EMISSIONS,BIOMASS_CH4_EMISSIONS_FACTOR,BIOMASS_N2O_EMISSIONS_FACTOR
1002339,2011,THILMANY MILL,167383.1,53.31,10 Kraft Recovery Furnace/B10,Chemical Recovery Furnace,8.885,,
1002339,2011,THILMANY MILL,,,Kraft Lime Kiln/P12,Pulp Mill Lime Kiln,,,
1002708,2011,CLEARWATER PAPER CORP-CYPRESS BEND MILL,552137.0,176.78,#1 Recovery Boiler,Chemical Recovery Furnace,29.463,,
1002708,2011,CLEARWATER PAPER CORP-CYPRESS BEND MILL,,,#1 Lime Kiln,Pulp Mill Lime Kiln,,,
1002733,2011,"Brunswick Cellulose, Inc.",722826.0,229.71,R401,Chemical Recovery Furnace,38.285,,
1002733,2011,"Brunswick Cellulose, Inc.",1126485.0,357.99,R407,Chemical Recovery Furnace,59.666,,
1002733,2011,"Brunswick Cellulose, Inc.",,,L537,Pulp Mill Lime Kiln,,,
1002823,2011,GEORGIA-PACIFIC CEDAR SPRINGS LLC,322515.4,102.63,No. 1 Recovery Furnace (R400),Chemical Recovery Furnace,17.105,,
1002823,2011,GEORGIA-PACIFIC CEDAR SPRINGS LLC,381008.6,121.25,No. 2 Recovery Furnace (R401),Chemical Recovery Furnace,20.208,,
1002823,2011,GEORGIA-PACIFIC CEDAR SPRINGS LLC,470884.7,149.85,No. 3 Recovery Furnace (R402),Chemical Recovery Furnace,24.974,,
1002823,2011,GEORGIA-PACIFIC CEDAR SPRINGS LLC,,,No. 1 Lime Kiln (L600),Pulp Mill Lime Kiln,,,
1002823,2011,GEORGIA-PACIFIC CEDAR SPRINGS LLC,,,No. 2 Lime Kiln (L601),Pulp Mill Lime Kiln,,,
1002846,2011,"Hood Container of Louisiana, LLC",389370.0,123.74,Recovery Furnace,Chemical Recovery Furnace,20.62,,
1002846,2011,"Hood Container of Louisiana, LLC",,,Lime Kiln,Pulp Mill Lime Kiln,,,
1002893,2011,BOISE PAPER,106096.0,34.0,No. 2 Recovery Furnace,Chemical Recovery Furnace,5.6,,
1002893,2011,BOISE PAPER,576066.0,183.3,No. 3 Recovery Furnace,Chemical Recovery Furnace,30.6,,
1002893,2011,BOISE PAPER,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1002963,2011,BOISE WHITE PAPER MILL,459267.0,146.39,Z011,Chemical Recovery Furnace,24.398,0.0019,0.00042
1002963,2011,BOISE WHITE PAPER MILL,,,Z003,Pulp Mill Lime Kiln,,,
1003048,2011,SAPPI FINE PAPER (S.D. WARREN ) MILL,924866.9,295.77,Recovery Boiler,Chemical Recovery Furnace,49.295,,
1003048,2011,SAPPI FINE PAPER (S.D. WARREN ) MILL,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1003280,2011,PACKAGING CORP. OF AMERICA,23407.2,7.44,7000,Chemical Recovery Furnace,1.24,0.0019,0.00042
1003280,2011,PACKAGING CORP. OF AMERICA,23789.8,7.56,7010,Chemical Recovery Furnace,1.26,0.0019,0.00042
1003280,2011,PACKAGING CORP. OF AMERICA,35319.0,11.22,7040,Chemical Recovery Furnace,1.87,0.0019,0.00042
1003280,2011,PACKAGING CORP. OF AMERICA,37002.6,11.76,7020,Chemical Recovery Furnace,1.96,0.0019,0.00042
1003280,2011,PACKAGING CORP. OF AMERICA,,,6063,Pulp Mill Lime Kiln,,,
1003320,2011,Verso Escanaba LLC,768485.0,244.2,EURF15,Chemical Recovery Furnace,40.7,,
1003320,2011,Verso Escanaba LLC,,,EULK29,Pulp Mill Lime Kiln,,,
1003419,2011,"WestRock CP, LLC",49164.0,13.0,N001,Chemical Recovery Combustion Unit,2.0,,
1003470,2011,GRAPHIC PACKAGING INTERNATIONAL,757609.0,240.9,D001,Chemical Recovery Furnace,40.15,,
1003470,2011,GRAPHIC PACKAGING INTERNATIONAL,,,L001,Pulp Mill Lime Kiln,,,
1003470,2011,GRAPHIC PACKAGING INTERNATIONAL,,,L002,Pulp Mill Lime Kiln,,,
1003501,2011,EVERGREEN PACKAGING-PINE BLUFF,201065.6,64.07,Recovery Boiler No. 2,Chemical Recovery Furnace,10.679,,
1003501,2011,EVERGREEN PACKAGING-PINE BLUFF,227341.1,72.45,Recovery Boiler No. 3,Chemical Recovery Furnace,12.074,,
1003501,2011,EVERGREEN PACKAGING-PINE BLUFF,731346.0,233.06,Recovery Boiler No. 4,Chemical Recovery Furnace,38.843,,
1003501,2011,EVERGREEN PACKAGING-PINE BLUFF,,,Lime Kiln No. 1,Pulp Mill Lime Kiln,,,
1003501,2011,EVERGREEN PACKAGING-PINE BLUFF,,,Lime Kiln No. 2,Pulp Mill Lime Kiln,,,
1003633,2011,"Mondi Bags USA, LLC",145269.0,46.17,Recovery Boiler,Chemical Recovery Furnace,7.694,,
1003884,2011,PACKAGING CORPORATION OF AMERICA-TOMAHAWK,75031.3,21.92,B25,Chemical Recovery Combustion Unit,3.654,,
1003943,2011,GREIF RIVERVILLE LLC,67037.0,20.0,Recovery Boiler,Chemical Recovery Combustion Unit,3.0,,
1004017,2011,CASCADE PACIFIC PULP HALSEY PULP MILL,497451.0,158.09,RFEU,Chemical Recovery Furnace,26.348,,
1004017,2011,CASCADE PACIFIC PULP HALSEY PULP MILL,,,LKEU,Pulp Mill Lime Kiln,,,
1004055,2011,GEORGIA-PACIFIC TOLEDO LLC,250924.0,79.74,EU16 Recovery Boiler #2,Chemical Recovery Furnace,13.29,,
1004055,2011,GEORGIA-PACIFIC TOLEDO LLC,260362.0,82.74,EU14 Recovery Boiler #1,Chemical Recovery Furnace,13.79,,
1004055,2011,GEORGIA-PACIFIC TOLEDO LLC,,,EU1 Lime Kiln #1,Pulp Mill Lime Kiln,,,
1004055,2011,GEORGIA-PACIFIC TOLEDO LLC,,,EU2 Lime Kiln #2,Pulp Mill Lime Kiln,,,
1004055,2011,GEORGIA-PACIFIC TOLEDO LLC,,,EU3 Lime Kiln #3,Pulp Mill Lime Kiln,,,
1004199,2011,P.H. Glatfelter Company,395492.0,126.18,Recovery Boiler #3,Chemical Recovery Furnace,21.029,,
1004199,2011,P.H. Glatfelter Company,,,Calciner,Pulp Mill Lime Kiln,,,
1004396,2011,DOMTAR A. W. LLC-NEKOOSA,292565.0,94.0,B14,Chemical Recovery Furnace,16.0,,
1004396,2011,DOMTAR A. W. LLC-NEKOOSA,,,P22,Pulp Mill Lime Kiln,,,
1004705,2011,CLEARWATER PAPER CORP,269070.0,85.5,Number 4 Recovery Furnace,Chemical Recovery Furnace,14.3,,
1004705,2011,CLEARWATER PAPER CORP,901932.0,286.6,Number 5 Recovery Furnace,Chemical Recovery Furnace,47.8,,
1004705,2011,CLEARWATER PAPER CORP,,,Number 3 Lime Kiln,Pulp Mill Lime Kiln,,,
1004705,2011,CLEARWATER PAPER CORP,,,Number 4 Lime Kiln,Pulp Mill Lime Kiln,,,
1004886,2011,INTERSTATE PAPER LLC,297791.0,95.0,Recovery Boiler,Chemical Recovery Furnace,16.0,0.0019,0.00042
1004886,2011,INTERSTATE PAPER LLC,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1004901,2011,International Paper-Port Wentworth,726506.7,230.88,RE01,Chemical Recovery Furnace,38.48,,
1004901,2011,International Paper-Port Wentworth,,,LK01,Pulp Mill Lime Kiln,,,
1005012,2011,"WESTROCK CP, LLC - HODGE MILL",354864.0,112.94,RB3,Chemical Recovery Furnace,18.824,,
1005012,2011,"WESTROCK CP, LLC - HODGE MILL",622442.0,198.11,RB2,Chemical Recovery Furnace,33.018,,
1005012,2011,"WESTROCK CP, LLC - HODGE MILL",,,LK1,Pulp Mill Lime Kiln,,,
1005012,2011,"WESTROCK CP, LLC - HODGE MILL",,,LK2,Pulp Mill Lime Kiln,,,
1005579,2011,"WestRock CP, LLC - West Point Mill",394189.0,126.0,RF5,Chemical Recovery Furnace,21.0,,
1005579,2011,"WestRock CP, LLC - West Point Mill",418986.0,133.0,RF4,Chemical Recovery Furnace,22.0,,
1005579,2011,"WestRock CP, LLC - West Point Mill",,,LK1,Pulp Mill Lime Kiln,,,
1005579,2011,"WestRock CP, LLC - West Point Mill",,,LK2,Pulp Mill Lime Kiln,,,
1005653,2011,INTERNATIONAL PAPER - BOGALUSA MILL,411256.5,130.7,Recovery Furnace No. 20,Chemical Recovery Furnace,21.783,,
1005653,2011,INTERNATIONAL PAPER - BOGALUSA MILL,527052.7,167.5,Recovery Furnace No. 21,Chemical Recovery Furnace,27.916,,
1005653,2011,INTERNATIONAL PAPER - BOGALUSA MILL,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1005669,2011,APPLETON ROARING SPRING PAPER MFG,151467.9,48.5,038 - No. 3 Recovery Boiler,Chemical Recovery Furnace,8.08,,
1005669,2011,APPLETON ROARING SPRING PAPER MFG,,,103A - Lime Kiln,Pulp Mill Lime Kiln,,,
1005706,2011,"Domtar Paper Company, LLC",496922.7,158.05,Chemical Recovery Furnace,Chemical Recovery Furnace,26.34,,
1005706,2011,"Domtar Paper Company, LLC",,,Lime Kiln,Pulp Mill Lime Kiln,,,
1005732,2011,PORT TOWNSEND PAPER CORP,330000.0,105.0,Recovery Furnace,Chemical Recovery Furnace,17.5,,
1005732,2011,PORT TOWNSEND PAPER CORP,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1005738,2011,International Paper - Mansfield Mill,528597.5,168.35,No. 2 Recovery Boiler,Chemical Recovery Furnace,28.059,0.0019,0.00042
1005738,2011,International Paper - Mansfield Mill,545627.0,173.77,No. 1 Recovery Boiler,Chemical Recovery Furnace,28.962,0.0019,0.00042
1005738,2011,International Paper - Mansfield Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1005909,2011,International Paper - Orange Mill,190125.0,60.42,RF1,Chemical Recovery Furnace,10.07,,
1005909,2011,International Paper - Orange Mill,211259.0,67.14,RF2,Chemical Recovery Furnace,11.19,,
1005909,2011,International Paper - Orange Mill,,,LK,Pulp Mill Lime Kiln,,,
1005948,2011,GEORGIA-PACIFIC BREWTON LLC,156631.0,49.96,BR-REC1-M003,Chemical Recovery Furnace,8.327,,
1005948,2011,GEORGIA-PACIFIC BREWTON LLC,173414.0,55.32,BR-REC2-M006,Chemical Recovery Furnace,9.219,,
1005948,2011,GEORGIA-PACIFIC BREWTON LLC,266933.0,85.15,BR-REC3-M010,Chemical Recovery Furnace,14.191,,
1005948,2011,GEORGIA-PACIFIC BREWTON LLC,,,BR-CRP5-S010,Pulp Mill Lime Kiln,,,
1005948,2011,GEORGIA-PACIFIC BREWTON LLC,,,BR-CRP7-S015,Pulp Mill Lime Kiln,,,
1005959,2011,DOMTAR PAPER KINGSPORT MILL,523708.6,167.68,82-0022-34,Chemical Recovery Furnace,27.95,,
1005959,2011,DOMTAR PAPER KINGSPORT MILL,,,82-0022-36,Pulp Mill Lime Kiln,,,
1005994,2011,DOMTAR AW LLC ASHDOWN MILL,450921.9,143.95,No. 2 Recovery Boiler,Chemical Recovery Furnace,23.992,,
1005994,2011,DOMTAR AW LLC ASHDOWN MILL,612494.1,195.54,No. 3 Recovery Boiler,Chemical Recovery Furnace,32.589,,
1005994,2011,DOMTAR AW LLC ASHDOWN MILL,,,No. 2 Lime Kiln,Pulp Mill Lime Kiln,,,
1005994,2011,DOMTAR AW LLC ASHDOWN MILL,,,No. 3 Lime Kiln,Pulp Mill Lime Kiln,,,
1005998,2011,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,450138.0,143.05,4RF,Chemical Recovery Furnace,23.842,0.0019,0.00042
1005998,2011,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,,,4LK,Pulp Mill Lime Kiln,,,
1006095,2011,WISCONSIN RAPIDS FIBER AND ENERGY MILL,273641.9,87.0,Recovery Boiler #2 (P36),Chemical Recovery Furnace,14.5,,
1006095,2011,WISCONSIN RAPIDS FIBER AND ENERGY MILL,296028.5,94.08,Recovery Boiler #1 (P39),Chemical Recovery Furnace,15.68,,
1006095,2011,WISCONSIN RAPIDS FIBER AND ENERGY MILL,308594.4,98.1,Recovery Boiler #3 (P37),Chemical Recovery Furnace,16.3,,
1006095,2011,WISCONSIN RAPIDS FIBER AND ENERGY MILL,,,Lime Kiln (P30),Pulp Mill Lime Kiln,,,
1006209,2011,International Paper - Flint River Mill,942134.0,299.0,Recovery Furnace (U500),Chemical Recovery Furnace,50.0,,
1006209,2011,International Paper - Flint River Mill,,,Lime Kiln (U800),Pulp Mill Lime Kiln,,,
1006256,2011,BOISE PACKAGING & NEWSPRINT LLC - DERIDDER PAPER MILL,748587.0,237.9,Recovery Boiler 69-01,Chemical Recovery Furnace,39.65,0.0019,0.00042
1006256,2011,BOISE PACKAGING & NEWSPRINT LLC - DERIDDER PAPER MILL,,,Lime Kiln 69-04,Pulp Mill Lime Kiln,,,
1006262,2011,International Paper-Eastover Mill,517442.2,165.24,No.1 Recovery Furnace,Chemical Recovery Furnace,27.54,,
1006262,2011,International Paper-Eastover Mill,956006.3,305.32,No.2 Recovery Furnace,Chemical Recovery Furnace,50.89,,
1006262,2011,International Paper-Eastover Mill,,,No.1 Lime Kiln,Pulp Mill Lime Kiln,,,
1006262,2011,International Paper-Eastover Mill,,,No.2 Lime Kiln,Pulp Mill Lime Kiln,,,
1006360,2011,NIPPON DYNAWAVE PACKAGING,985053.6,313.05,GHG-01_RB10,Chemical Recovery Furnace,52.174,0.0019,0.00042
1006360,2011,NIPPON DYNAWAVE PACKAGING,,,GHG-02_LK,Pulp Mill Lime Kiln,,,
1006366,2011,Catalyst Paper Operations Inc. Rumford Division,698459.2,221.97,Chemical Recovery Furnace,Chemical Recovery Furnace,36.995,,
1006366,2011,Catalyst Paper Operations Inc. Rumford Division,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1006367,2011,PACKAGING CORPORATION OF AMERICA,22257.1,7.13,EUCOPELAND,Chemical Recovery Combustion Unit,1.19,,
1006454,2011,"LONGVIEW FIBRE PAPER AND PACKAGING, INC",209693.0,66.6,No. 18 Recovery Furnace / 1246-10,Chemical Recovery Furnace,11.1,,
1006454,2011,"LONGVIEW FIBRE PAPER AND PACKAGING, INC",246846.0,78.4,No. 19 Recovery Furnace / 1261-10,Chemical Recovery Furnace,13.1,,
1006454,2011,"LONGVIEW FIBRE PAPER AND PACKAGING, INC",652556.0,207.4,No. 22 Recovery Furnace / 8201-10,Chemical Recovery Furnace,34.6,,
1006454,2011,"LONGVIEW FIBRE PAPER AND PACKAGING, INC",,,No. 3 Lime Kiln / 1431-00,Pulp Mill Lime Kiln,,,
1006454,2011,"LONGVIEW FIBRE PAPER AND PACKAGING, INC",,,No. 4 Lime Kiln / 1450-00,Pulp Mill Lime Kiln,,,
1006454,2011,"LONGVIEW FIBRE PAPER AND PACKAGING, INC",,,No. 5 Lime Kiln / 1567-00,Pulp Mill Lime Kiln,,,
1006608,2011,FINCH PAPER LLC,174529.1,55.46,"Boilers 6,7,8,10",Chemical Recovery Furnace,9.244,,
1006668,2011,International Paper - Texarkana Mill,433052.4,138.26,RB1,Chemical Recovery Furnace,23.04,,
1006668,2011,International Paper - Texarkana Mill,966544.2,308.6,RB2,Chemical Recovery Furnace,51.4,,
1006668,2011,International Paper - Texarkana Mill,,,LK1,Pulp Mill Lime Kiln,,,
1006668,2011,International Paper - Texarkana Mill,,,LK2,Pulp Mill Lime Kiln,,,
1006703,2011,International Paper - Columbus Mill,1189441.0,378.0,Recovery Boiler,Chemical Recovery Furnace,63.0,,
1006703,2011,International Paper - Columbus Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
