FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,COMMON_STACK_COMBINED_HEAT_UOM,TIER_123_SORBENT_CO2_EMISSIONS,TIER123_BIOGENIC_CO2_EMISSIONS,TIER_1_2_3_FOSSIL_CO2_EMISSION,TIER_4_OPERATING_HOURS,TIER_4_OP_HRS_CO2_CONC_SUB,TIER_4_OP_HRS_STACK_FLOWRT_SUB,TIER_4_OP_HRS_STACK_MOIST_SUB,UNIT_NAME,UNIT_TYPE,UNIT_TYPE_OTHER,IND_UNIT_HEAT_INPUT_CAPACITY,IND_UNIT_HEATINPUTCAPACITY_UOM,IND_UNIT_HEATCAPACITY_UOM_OTHR,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,COMMON_PIPE_HEAT_CAPACITY,COMMON_PIPE_HEAT_CAPACITY_UOM,COMMON_STACK_NUMBER_OF_UNITS,TIER4_V_TOTAL,TIER4_V_BIO,TIER4_ANNUAL_BIO_CO2_EMISSION,PART_75_CO2_EMISSIONS_METHOD,PART_75_METHOD_STARTDATE,PART_75_METHODOLOGY_ENDDATE,PART_75_HEAT_INPUT_METHOD,PART_75_CO2_METHOD,PART_75_OP_HRS_FUEL_FLOWRATE,PART_75_OP_HRS_HHV_SUB,PART_75_OP_HRS_CO2_CONC_SUB,PART_75_OP_HRS_FLOWRATE_SUB,TIER4_NONBIOGENIC_CO2EMISSION,TIER_4_BIOGENIC_CO2_EMISSIONS,TIER_4_TOTAL_CO2_EMISSIONS,TIER_4_METHODOLOGY_START_DATE,TIER_4_METHODOLOGY_END_DATE,TIER4_VFF,PART_75_OP_HRS_MOISTURE_SUB,BIOGENIC_CO2_MASS_EMISS_MSW,TOTAL_AMT_SORBENT_USED,PLANT_CODE,CP_USEIVTIND,CS_USEIVTIND,IND_USE_IVT_IND,AGG_USEIVTIND,CP_CUMULATIVE_MAXHEAT_INPUTCAP,COMMON_STACK_COMBINED_HEAT,AGG_CUMULATIVE_HEAT_INPUTCAP,SORBENT_MOLECULAR_WEIGHT,SORBENT_RATIO
1000022,2011,ISP TECHNOLOGIES TEXAS CITY PLANT,,0.0,0.0,0.0,,,,,GP-Blr,OCS (Other combustion source),,,,,66.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000022,2011,ISP TECHNOLOGIES TEXAS CITY PLANT,,0.0,0.0,0.0,,,,,GP-Htr,OCS (Other combustion source),,,,,10.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000023,2011,Ardagh Glass Inc. (Sapulpa),,0.0,0.0,72667.2,,,,,GP-1,OCS (Other combustion source),,,,,69.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000024,2011,Ardagh Glass Inc. (Seattle),,34.5,0.0,57618.6,,,,,GP-1,OCS (Other combustion source),,,,,31.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,91.24,,,,,,,,,105.99,1.0
1000025,2011,PLACID REFINING CO LLC - PORT ALLEN REFINERY,,0.0,0.0,314209.6,,,,,GP-RFG,OCS (Other combustion source),,,,,195.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000025,2011,PLACID REFINING CO LLC - PORT ALLEN REFINERY,,0.0,0.0,57349.6,,,,,GP-NG,OCS (Other combustion source),,,,,76.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000026,2011,Ardagh Glass Inc. (Wilson),,0.0,0.0,63953.1,,,,,GP-1,OCS (Other combustion source),,,,,98.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,CTRB Boiler 1,"OB (Boiler, other)",,26.78,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,CTRB Boiler 2,"OB (Boiler, other)",,26.78,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,CTRB Boiler 3,"OB (Boiler, other)",,26.78,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,CTRB Boiler 4,"OB (Boiler, other)",,26.78,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Main Boiler 1,"OB (Boiler, other)",,16.74,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Main Boiler 2,"OB (Boiler, other)",,16.74,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Main Boiler 3,"OB (Boiler, other)",,16.74,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Main Boiler 4,"OB (Boiler, other)",,8.37,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Main Boiler 5,"OB (Boiler, other)",,26.78,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Main Boiler 6,"OB (Boiler, other)",,26.78,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Main Boiler 7,"OB (Boiler, other)",,26.78,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Peak Shaving Generator 1,RICE (Reciprocating internal combustion engine),,7.6,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Peak Shaving Generator 2,RICE (Reciprocating internal combustion engine),,7.6,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Peak Shaving Generator 3,RICE (Reciprocating internal combustion engine),,7.6,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000027,2011,The Children\s Hospital of Philadelphia,,0.0,0.0,,,,,,Peak Shaving Generator 4,RICE (Reciprocating internal combustion engine),,7.6,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000028,2011,Ardagh Glass Inc. (Pevely),,0.0,0.0,56267.6,,,,,GP-1,OCS (Other combustion source),,,,,98.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000029,2011,NUCOR STEEL SEATTLE INC,,,0.0,0.0,,,,,CP-PSE1,OCS (Other combustion source),,,,,,,175.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000030,2011,US MAGNESIUM LLC,,0.0,0.0,287388.0,,,,,GP-NAT GAS EQUIPMENT,OCS (Other combustion source),,,,,208.33,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000030,2011,US MAGNESIUM LLC,,0.0,0.0,4101.1,,,,,GP-Diesel Pumps,OCS (Other combustion source),,,,,1.17,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000031,2011,Northwest Regional Landfill,,0.0,0.0,,,,,,Pump001,OCS (Other combustion source),,80.461325,Other,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000032,2011,KRATON POLYMERS U S LLC,,0.0,0.0,0.0,,,,,GP-Natural Gas,OCS (Other combustion source),,,,,247.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000032,2011,KRATON POLYMERS U S LLC,,0.0,0.0,,,,,,Boiler F-1001,"PCWW (Pulverized coal, wall-fired, wet bottom)",,247.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000032,2011,KRATON POLYMERS U S LLC,,0.0,0.0,,,,,,Boiler F-1002,"PCWW (Pulverized coal, wall-fired, wet bottom)",,247.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000033,2011,San Gabriel Cogeneration Facility,,0.0,0.0,,,,,,GT-1,"SCCT (CT (Turbine, simple cycle combustion))",,409.9,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000034,2011,ADM MILLING COMPANY,,0.0,0.0,7.4,,,,,"GP-02, FO",OCS (Other combustion source),,,,,175.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000034,2011,ADM MILLING COMPANY,,285.9,0.0,,,,,,C05 - Coal,"BFB (Boiler, bubbling fluidized bed)",,192.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,714.01,,,,,,,,,100.0,1.0
1000034,2011,ADM MILLING COMPANY,,,0.0,8826.9,,,,,"GP-01, NG",OCS (Other combustion source),,,,,192.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000035,2011,ANDERSONS MARATHON ETHANOL LLC,,0.0,752.3,182191.0,,,,,GP-Greenville Facility,OCS (Other combustion source),,,,,122.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000036,2011,UNIVERSITY OF CINCINNATI,,0.0,0.0,136884.0,,,,,GP- Natural gas combustion units,OCS (Other combustion source),,,,,200.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000036,2011,UNIVERSITY OF CINCINNATI,,0.0,0.0,255.0,,,,,GP- Diesel combustion units,OCS (Other combustion source),,,,,200.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000036,2011,UNIVERSITY OF CINCINNATI,,0.0,0.0,29338.0,,,,,GP- Coal combustion units,OCS (Other combustion source),,,,,136.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000037,2011,TYSON FRESH MEATS INC,,0.0,6626.9,25883.3,,,,,GP-Fuel Combustion Units,OCS (Other combustion source),,,,,40.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000038,2011,TYSON FRESH MEATS,,0.0,0.0,22051.7,,,,,GP-Fuel Combustion Equipment,OCS (Other combustion source),,,,,31.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000039,2011,Alstom Grid LLC,,0.0,0.0,157.8,,,,,GP-Stationary gas fired HVAC units,OCS (Other combustion source),,,,,0.8,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000040,2011,"Tyson Fresh Meats, Inc.- Dakota City, NE",,0.0,6421.3,45607.7,,,,,GP-Steam Generating Boilers,OCS (Other combustion source),,,,,36.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000041,2011,WISCONSIN PAPERBOARD CORP,,0.0,0.0,41785.1,,,,,GP-01,OCS (Other combustion source),,,,,144.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000045,2011,TYSON POULTRY INC.-SEDALIA,,0.0,0.0,44267.1,,,,,GP-Boilers/Ovens/Fryers,OCS (Other combustion source),,,,,50.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000046,2011,BADLANDS SANITARY LANDFILL,,0.0,2508.5,,,,,,Badlands ICE GEN1,RICE (Reciprocating internal combustion engine),,16.2,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000047,2011,PENOBSCOT ENERGY RECOVERY CO.,,0.0,0.0,102.2,,,,,GP-HW BLRS,OCS (Other combustion source),,,,,1.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000047,2011,PENOBSCOT ENERGY RECOVERY CO.,,0.0,0.0,300.7,,,,,GP-  PRO HTRS,OCS (Other combustion source),,,,,0.4,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000047,2011,PENOBSCOT ENERGY RECOVERY CO.,,0.0,0.0,,,,,,MNT HTR,CH (Comfort heater),,0.2,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000047,2011,PENOBSCOT ENERGY RECOVERY CO.,,0.0,137126.2,101547.5,,,,,GP-MWC,OCS (Other combustion source),,,,,182.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000048,2011,"ALLISON TRANSMISSION, Inc.",,0.0,0.0,20420.0,,,,,GP-Natural Gas Fired Units,OCS (Other combustion source),,,,,99.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000048,2011,"ALLISON TRANSMISSION, Inc.",,0.0,0.0,4866.0,,,,,GP-Diesel Fired Units,OCS (Other combustion source),,,,,28.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000049,2011,Lange,,0.0,0.0,,,,,,LG-Turbine Inlet Air Heater,PRH (Process Heater),,17.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000053,2011,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,,0.0,0.0,162.4,,,,,GP-Comb Sources,OCS (Other combustion source),,,,,151.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000053,2011,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,,,0.0,101693.1,,,,,CP-10 INCH,OCS (Other combustion source),,,,,,,831.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000056,2011,SPECIALTY MINERALS,,0.0,0.0,56201.0,,,,,GP-1,OCS (Other combustion source),,,,,39.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000060,2011,Limon Generating Station,,0.0,0.0,16.6,,,,,GP- Comfort heating,OCS (Other combustion source),,,,,0.695,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000060,2011,Limon Generating Station,,0.0,0.0,,,,,,NG Preheater Unit 1,PRH (Process Heater),,3.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000060,2011,Limon Generating Station,,0.0,0.0,,,,,,NG Preheater Unit 2,PRH (Process Heater),,3.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000061,2011,Frank Knutson Station,,0.0,0.0,,,,,,NG Preheater Unit 1,PRH (Process Heater),,5.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000061,2011,Frank Knutson Station,,0.0,0.0,,,,,,NG Preheater Unit 2,PRH (Process Heater),,5.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000062,2011,MT JEWETT COMPLEX,,0.0,0.0,0.0,,,,,GP-MJ,OCS (Other combustion source),,,,,66.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000062,2011,MT JEWETT COMPLEX,,,0.0,40029.9,,,,,CP-MJ,OCS (Other combustion source),,,,,,,66.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000063,2011,CHIEF ETHANOL FUELS INC,,0.0,0.0,,,,,,Coal Boiler,S (Stoker Boiler),,109.7,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000063,2011,CHIEF ETHANOL FUELS INC,,0.0,0.0,,,,,,Natural Gas Boiler,"OB (Boiler, other)",,244.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000064,2011,LONE STAR GAS LIQUIDS,,0.0,0.0,0.0,,,,,GP-IC Engines Diesel,OCS (Other combustion source),,,,,1.8,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000064,2011,LONE STAR GAS LIQUIDS,,0.0,0.0,0.0,,,,,GP-IC Engines Natural Gas,OCS (Other combustion source),,,,,0.46,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000064,2011,LONE STAR GAS LIQUIDS,,0.0,0.0,,,,,,H201,PRH (Process Heater),,80.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000064,2011,LONE STAR GAS LIQUIDS,,0.0,0.0,,,,,,H202,PRH (Process Heater),,105.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000064,2011,LONE STAR GAS LIQUIDS,,0.0,0.0,,,,,,H301,PRH (Process Heater),,10.28,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000064,2011,LONE STAR GAS LIQUIDS,,0.0,0.0,,,,,,H401,PRH (Process Heater),,23.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,N1276-1,"OB (Boiler, other)",,93.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,N1276-15,"OB (Boiler, other)",,98.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,N1276-18,"OB (Boiler, other)",,180.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,N1276-2,"OB (Boiler, other)",,93.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,N1276-3,"OB (Boiler, other)",,156.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,N1276-8,"OB (Boiler, other)",,182.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,N1276-9,"OB (Boiler, other)",,182.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,P1276-1,"OB (Boiler, other)",,5.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,P1276-2,"OB (Boiler, other)",,4.99,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,P1276-3,"OB (Boiler, other)",,4.9,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000066,2011,"INGOMAR PACKING COMPANY, LLC",,0.0,0.0,,,,,,P2 Microturbine,"CCCT (CC (Turbine, combined cycle))",,0.842,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000068,2011,Apex Generating Station,,0.0,0.0,,,,,,FGDH,"NGLH (Heater, natural gas line)",,9.67,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000069,2011,"Wallingford Energy, LLC",,0.0,0.0,217.2,,,,,GP-1,OCS (Other combustion source),,,,,33.475,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000070,2011,High Desert Power Project,,0.0,0.0,,,,,,Portable Diesel Fired Water Pump,OCS (Other combustion source),Portable Diesel Fired Water Pump,85.0,Other,bhp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000072,2011,LOCKHEED MARTIN MISSILES & SPACE,,0.0,0.0,27707.0,,,,,GP-1,OCS (Other combustion source),,,,,35.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
