FRS_ID,FlowName,Compartment,FlowAmount,FlowSum,Unit,Concentration kg/kg,Source,Year,FacilityName,State,Latitude,Longitude,County,NAICS,SIC,FacilityID
110071160048.0,Carbon Dioxide,air,815365000.0,815442113.0,kg,0.9999054341212323,GHGRP,2017.0,Chalk Point,MD,38.5444,-76.6861,Prince George's,221112,,1000649
110070305573.0,Carbon Dioxide,air,295787700.0,295819546.0,kg,0.9998923465320984,GHGRP,2017.0,Dickerson,MD,39.2086,-77.4644,Montgomery,221112,,1000650
110064857329.0,Carbon Dioxide,air,26425000.0,26425721.0,kg,0.9999727159762264,GHGRP,2017.0,Potter,MA,42.235,-70.9672,Norfolk,221112,,1000665
110071161706.0,Carbon Dioxide,air,619775300.0,619787939.0,kg,0.9999796075412174,GHGRP,2017.0,Sand Hill Energy Center,TX,30.2091,-97.6139,Travis,221112,,1000669
110071161708.0,Carbon Dioxide,air,16730000.0,16730341.0,kg,0.9999796178691157,GHGRP,2017.0,Delray,MI,42.2947,-83.1019,Wayne,221112,,1000674
110071161464.0,Carbon Dioxide,air,3671598100.0,3671999014.0,kg,0.9998908185981338,GHGRP,2017.0,St. Clair,MI,42.7642,-82.4719,Saint Clair,221112,,1000678
110071161465.0,Carbon Dioxide,air,295717100.0,295756252.0,kg,0.9998676207189696,GHGRP,2017.0,Shiras,MI,46.5314,-87.3917,Marquette,221112,,1000684
110071161712.0,Carbon Dioxide,air,5172600.0,5172699.0,kg,0.9999808610553214,GHGRP,2017.0,Laskin Energy Center,MN,47.5306,-92.1619,St. Louis,221112,,1000686
110071161466.0,Carbon Dioxide,air,7711957000.0,7712912796.0,kg,0.9998760784640927,GHGRP,2017.0,Boswell Energy Center,MN,47.2603,-93.6531,Itasca,221112,,1000687
110071161713.0,Carbon Dioxide,air,293325500.0,293331484.0,kg,0.9999795998713865,GHGRP,2017.0,Black Dog,MN,44.8108,-93.2501,Dakota,221112,,1000689
110067718697.0,Carbon Dioxide,air,298434300.0,298434396.0,kg,0.9999996783212616,GHGRP,2017.0,Hoot Lake,MN,46.29,-96.0428,Otter Tail,221112,,1000694
110071161467.0,Carbon Dioxide,air,913870000.0,913888647.033557,kg,0.9999795959457232,GHGRP,2017.0,Watson Electric Generating Plant,MS,30.4408,-89.0265,Harrison,221112,,1000698
110071161715.0,Carbon Dioxide,air,441486200.0,441495209.0,kg,0.9999795943425516,GHGRP,2017.0,Moselle Generating Plant,MS,31.5289,-89.2992,Jones,221112,,1000703
110057298446.0,Carbon Dioxide,air,28005500.0,28006083.0,kg,0.9999791830939014,GHGRP,2017.0,EVONIK CORPORATION,NC,36.0441,-79.78814,GUILFORD COUNTY,325199,,1000704
110070834944.0,Carbon Dioxide,air,2891853100.0,2891931965.0,kg,0.9999727293031252,GHGRP,2017.0,Hawthorn Generating Station,MO,39.1306,-94.4778,Jackson,221112,,1000705
110052427370.0,Carbon Dioxide,air,65193900.0,65195284.18791946,kg,0.9999787685883005,GHGRP,2017.0,James River,MO,37.1086,-93.2592,Greene,221112,,1000713
110070835070.0,Carbon Dioxide,air,6431931900.0,6432107695.0,kg,0.9999726691454286,GHGRP,2017.0,New Madrid Power Plant,MO,36.5147,-89.5617,New Madrid,221112,,1000715
110071161643.0,Carbon Dioxide,air,56869500.0,56870681.0,kg,0.9999792335878658,GHGRP,2017.0,Sarpy County Station,NE,41.1706,-95.9692,Sarpy,221112,,1000725
110070081770.0,Carbon Dioxide,air,22659200.0,22662270.0,kg,0.9998645325468278,GHGRP,2017.0,B L England,NJ,39.29,-74.6339,Cape May,221112,,1000732
110071161131.0,Carbon Dioxide,air,12926300.0,12926591.0,kg,0.9999774882643073,GHGRP,2017.0,Carlls Corner Energy Center,NJ,39.4547,-75.2011,Cumberland,221112,,1000733
110071161660.0,Carbon Dioxide,air,1432699100.0,1432728632.0,kg,0.9999793875830074,GHGRP,2017.0,Bergen,NJ,40.8375,-74.0244,Bergen,221112,,1000742
110071161661.0,Carbon Dioxide,air,9389300.0,9389513.0,kg,0.9999773151174081,GHGRP,2017.0,Burlington Generating Station,NJ,40.0753,-74.8781,Burlington,221112,,1000743
110071162253.0,Carbon Dioxide,air,2425300.0,2425344.0,kg,0.9999818582436141,GHGRP,2017.0,Edison,NJ,40.4911,-74.3958,Middlesex,221112,,1000744
110071161662.0,Carbon Dioxide,air,14921800.0,14922130.0,kg,0.9999778851946739,GHGRP,2017.0,Hudson Generating Station,NJ,40.7478,-74.0719,Hudson,221112,,1000746
110071161663.0,Carbon Dioxide,air,137831100.0,137833945.0,kg,0.9999793592209815,GHGRP,2017.0,Kearny Generating Station,NJ,40.7375,-74.1,Hudson,221112,,1000747
110071161665.0,Carbon Dioxide,air,521887100.0,521897737.0,kg,0.9999796186125253,GHGRP,2017.0,Rio Grande,NM,31.8047,-106.5472,Dona Ana,221112,,1000752
110071161666.0,Carbon Dioxide,air,227257100.0,227261742.0,kg,0.9999795742127154,GHGRP,2017.0,Maddox,NM,32.7131,-103.31,Lea,221112,,1000753
110071161667.0,Carbon Dioxide,air,537214700.0,537225667.0,kg,0.9999795858599585,GHGRP,2017.0,Cunningham,NM,32.7131,-103.3533,Lea,221112,,1000755
110070241225.0,Carbon Dioxide,air,23146900.0,23147387.0,kg,0.999978960908201,GHGRP,2017.0,Narrows Generating Station,NY,40.6486,-74.0209,Kings,221112,,1000763
110071160852.0,Carbon Dioxide,air,991042500.0,991065041.0,kg,0.9999772557813388,GHGRP,2017.0,Northport,NY,40.9231,-73.3417,Suffolk,221112,,1000771
110071160854.0,Carbon Dioxide,air,1977666200.0,1977706548.0,kg,0.9999795985910848,GHGRP,2017.0,Bethlehem Energy Center (Albany),NY,42.5905,-73.7636,Albany,221112,,1000777
110071160855.0,Carbon Dioxide,air,705946000.0,705961166.0,kg,0.9999785172319238,GHGRP,2017.0,Bowline Generating Station,NY,41.2044,-73.9689,Rockland,221112,,1000780
110000421534.0,Carbon Dioxide,air,605623800.0,605649254.0376885,kg,0.9999579723123263,GHGRP,2017.0,Pulliam,WI,44.5397,-88.0083,Brown,221112,,1000790
110040565689.0,Carbon Dioxide,air,854108600.0,854125760.0,kg,0.9999799092817433,GHGRP,2017.0,"Otay Mesa Energy Center, LLC",CA,32.5733,-116.9153,San Diego,221112,,1000796
110071159564.0,Carbon Dioxide,air,89388900.0,89390737.0,kg,0.9999794497722958,GHGRP,2017.0,"Elgin Energy Center, LLC",IL,41.9997,-88.2445,Cook,221112,,1000817
110071159566.0,Carbon Dioxide,air,2149451500.0,2149495357.0,kg,0.9999795966063117,GHGRP,2017.0,Redbud Power Plant,OK,35.6853,-97.2242,Oklahoma,221112,,1000824
110071160891.0,Carbon Dioxide,air,4965024400.0,4965696229.0,kg,0.9998647059809909,GHGRP,2017.0,Cliffside,NC,35.22,-81.7594,Cleveland,221112,,1000832
110070081773.0,Carbon Dioxide,air,1874344100.0,1874382347.0,kg,0.9999795948782482,GHGRP,2017.0,Dan River,NC,36.4862,-79.7208,Rockingham,221112,,1000833
110071160892.0,Carbon Dioxide,air,8499314900.0,8500465452.0,kg,0.9998646483529052,GHGRP,2017.0,Marshall,NC,35.5975,-80.9658,Catawba,221112,,1000834
110071162541.0,Carbon Dioxide,air,4190597500.0,4191131398.0,kg,0.9998726124405799,GHGRP,2017.0,Leland Olds,ND,47.2819,-101.3194,Mercer,221112,,1000836
110071160893.0,Carbon Dioxide,air,184521000.0,184545389.0,kg,0.9998678428102042,GHGRP,2017.0,Stanton,ND,47.2872,-101.3314,Mercer,221112,,1000838
110071160895.0,Carbon Dioxide,air,508946300.0,509013482.0,kg,0.9998680152837288,GHGRP,2017.0,Avon Lake Power Plant,OH,41.5042,-82.05,Lorain,221112,,1000843
110071161497.0,Carbon Dioxide,air,5868070100.0,5868864473.0,kg,0.9998646462184202,GHGRP,2017.0,Kyger Creek,OH,38.9161,-82.1281,Gallia,221112,,1000853
110071161469.0,Carbon Dioxide,air,7026226300.0,7027151687.0,kg,0.9998683126476817,GHGRP,2017.0,Muskogee,OK,35.7617,-95.2847,Muskogee,221112,,1000860
110071161470.0,Carbon Dioxide,air,620118700.0,620131361.0,kg,0.9999795833579846,GHGRP,2017.0,Seminole (2956),OK,34.9678,-96.7242,Seminole,221112,,1000861
110070834591.0,Carbon Dioxide,air,3017734000.0,3018048174.0,kg,0.9998959015953732,GHGRP,2017.0,Northeastern,OK,36.4317,-95.7008,Rogers,221112,,1000862
110064088142.0,Carbon Dioxide,air,203208700.0,203212858.0,kg,0.9999795386963162,GHGRP,2017.0,Southwestern,OK,35.1009,-98.3524,Caddo,221112,,1000863
110001631440.0,Carbon Dioxide,air,563439300.0,563860271.4604565,kg,0.9992534117373332,GHGRP,2017.0,Anadarko,OK,35.0847,-98.23,Caddo,221112,,1000865
110071161471.0,Carbon Dioxide,air,248690900.0,248695971.0,kg,0.9999796096415249,GHGRP,2017.0,Mooreland,OK,36.4375,-99.2208,Woodward,221112,,1000866
